iter	Passed	Remaining
0	183	183659
1	225	112489
2	262	87208
3	293	72959
4	361	71919
5	392	64946
6	440	62537
7	480	59628
8	524	57781
9	561	55636
10	600	53991
11	630	51903
12	664	50471
13	695	48953
14	725	47613
15	757	46573
16	787	45521
17	818	44677
18	853	44062
19	886	43429
20	914	42645
21	943	41949
22	972	41310
23	1001	40714
24	1029	40163
25	1068	40023
26	1095	39463
27	1122	38974
28	1147	38412
29	1174	37970
30	1201	37547
31	1231	37258
32	1261	36964
33	1285	36527
34	1312	36182
35	1336	35785
36	1365	35551
37	1394	35308
38	1420	34997
39	1448	34769
40	1476	34527
41	1505	34332
42	1534	34143
43	1562	33945
44	1592	33800
45	1628	33768
46	1654	33551
47	1685	33425
48	1715	33291
49	1739	33058
50	1768	32899
51	1793	32705
52	1826	32627
53	1856	32514
54	1880	32306
55	1910	32197
56	1935	32023
57	1962	31870
58	1991	31757
59	2019	31641
60	2055	31638
61	2096	31717
62	2142	31869
63	2201	32195
64	2251	32390
65	2295	32485
66	2329	32441
67	2362	32385
68	2388	32223
69	2416	32099
70	2443	31970
71	2476	31918
72	2504	31803
73	2530	31666
74	2558	31559
75	2585	31438
76	2622	31438
77	2672	31591
78	2714	31650
79	2744	31557
80	2768	31412
81	2800	31353
82	2830	31272
83	2858	31170
84	2889	31103
85	2918	31012
86	2943	30893
87	2978	30863
88	3003	30739
89	3029	30635
90	3075	30718
91	3106	30658
92	3135	30582
93	3165	30512
94	3196	30454
95	3230	30416
96	3260	30352
97	3295	30328
98	3322	30238
99	3352	30169
100	3383	30119
101	3408	30004
102	3438	29944
103	3468	29885
104	3492	29771
105	3520	29692
106	3546	29598
107	3575	29533
108	3604	29468
109	3631	29378
110	3676	29442
111	3705	29377
112	3731	29292
113	3758	29209
114	3782	29107
115	3812	29056
116	3841	28992
117	3864	28888
118	3893	28828
119	3921	28761
120	3952	28711
121	3982	28660
122	4011	28599
123	4039	28538
124	4073	28514
125	4099	28437
126	4131	28401
127	4161	28349
128	4188	28278
129	4216	28221
130	4243	28151
131	4272	28094
132	4296	28006
133	4325	27956
134	4353	27897
135	4379	27819
136	4409	27773
137	4437	27715
138	4463	27649
139	4492	27599
140	4515	27510
141	4546	27468
142	4573	27407
143	4602	27358
144	4629	27298
145	4657	27242
146	4686	27194
147	4713	27136
148	4740	27077
149	4774	27052
150	4801	26996
151	4829	26945
152	4859	26902
153	4886	26842
154	4915	26797
155	4941	26734
156	4969	26681
157	4998	26639
158	5026	26589
159	5065	26592
160	5093	26541
161	5117	26472
162	5145	26423
163	5173	26370
164	5203	26330
165	5229	26274
166	5256	26217
167	5286	26179
168	5312	26124
169	5341	26076
170	5371	26042
171	5396	25980
172	5424	25930
173	5449	25871
174	5474	25809
175	5501	25756
176	5528	25705
177	5555	25655
178	5579	25591
179	5614	25575
180	5639	25518
181	5668	25479
182	5699	25447
183	5726	25396
184	5755	25356
185	5788	25332
186	5817	25293
187	5845	25247
188	5877	25220
189	5901	25160
190	5933	25131
191	5960	25081
192	5989	25044
193	6020	25011
194	6046	24960
195	6078	24933
196	6108	24899
197	6132	24839
198	6161	24798
199	6184	24739
200	6215	24707
201	6244	24667
202	6270	24617
203	6296	24569
204	6319	24507
205	6347	24465
206	6374	24420
207	6401	24374
208	6433	24348
209	6460	24302
210	6489	24265
211	6517	24223
212	6543	24177
213	6571	24134
214	6600	24100
215	6630	24065
216	6660	24032
217	6689	23995
218	6717	23956
219	6745	23915
220	6776	23885
221	6803	23842
222	6828	23793
223	6857	23754
224	6884	23713
225	6913	23678
226	6943	23643
227	6966	23589
228	6998	23562
229	7044	23582
230	7071	23541
231	7100	23503
232	7128	23466
233	7153	23416
234	7181	23377
235	7208	23337
236	7237	23299
237	7266	23264
238	7292	23219
239	7321	23186
240	7348	23143
241	7377	23106
242	7407	23074
243	7432	23027
244	7459	22988
245	7486	22946
246	7515	22912
247	7546	22883
248	7573	22840
249	7603	22810
250	7631	22773
251	7657	22730
252	7689	22702
253	7715	22661
254	7743	22623
255	7769	22581
256	7800	22551
257	7830	22519
258	7859	22486
259	7886	22445
260	7915	22412
261	7941	22369
262	7971	22337
263	7995	22289
264	8021	22248
265	8048	22209
266	8081	22184
267	8110	22152
268	8137	22113
269	8170	22090
270	8200	22058
271	8227	22020
272	8254	21981
273	8283	21949
274	8310	21908
275	8338	21872
276	8367	21841
277	8397	21808
278	8425	21773
279	8451	21733
280	8482	21704
281	8512	21672
282	8537	21629
283	8568	21602
284	8598	21570
285	8628	21541
286	8658	21509
287	8695	21497
288	8740	21503
289	8808	21565
290	8864	21597
291	8918	21624
292	8954	21606
293	8980	21566
294	9028	21576
295	9057	21543
296	9089	21515
297	9120	21486
298	9151	21456
299	9190	21443
300	9224	21422
301	9255	21391
302	9289	21368
303	9321	21342
304	9349	21305
305	9380	21274
306	9413	21250
307	9441	21213
308	9472	21183
309	9502	21150
310	9530	21113
311	9564	21091
312	9598	21067
313	9627	21032
314	9655	20996
315	9687	20968
316	9713	20928
317	9743	20896
318	9772	20863
319	9799	20824
320	9828	20790
321	9855	20750
322	9881	20711
323	9909	20675
324	9938	20641
325	9969	20612
326	9993	20568
327	10022	20533
328	10049	20496
329	10079	20463
330	10105	20424
331	10130	20383
332	10163	20357
333	10190	20320
334	10220	20288
335	10248	20253
336	10277	20218
337	10306	20186
338	10337	20157
339	10366	20123
340	10395	20088
341	10423	20054
342	10452	20020
343	10482	19990
344	10510	19955
345	10537	19918
346	10569	19890
347	10595	19851
348	10629	19827
349	10658	19795
350	10687	19760
351	10715	19726
352	10743	19691
353	10772	19659
354	10802	19626
355	10829	19589
356	10859	19559
357	10891	19531
358	10918	19494
359	10954	19474
360	10987	19449
361	11027	19435
362	11055	19400
363	11086	19371
364	11117	19341
365	11145	19307
366	11178	19280
367	11207	19248
368	11234	19211
369	11264	19180
370	11294	19148
371	11322	19114
372	11351	19081
373	11379	19046
374	11410	19017
375	11441	18987
376	11467	18951
377	11496	18918
378	11526	18886
379	11556	18855
380	11584	18821
381	11613	18788
382	11643	18757
383	11674	18727
384	11707	18702
385	11736	18669
386	11770	18644
387	11799	18610
388	11825	18574
389	11853	18540
390	11879	18502
391	11912	18476
392	11947	18453
393	11974	18417
394	12002	18384
395	12030	18348
396	12055	18310
397	12083	18277
398	12109	18239
399	12137	18206
400	12165	18172
401	12193	18139
402	12221	18104
403	12247	18068
404	12277	18036
405	12303	18000
406	12331	17966
407	12362	17937
408	12395	17910
409	12427	17883
410	12458	17853
411	12489	17824
412	12517	17791
413	12551	17766
414	12579	17732
415	12611	17704
416	12642	17674
417	12671	17643
418	12697	17607
419	12734	17585
420	12765	17555
421	12797	17528
422	12828	17498
423	12855	17463
424	12886	17434
425	12913	17399
426	12940	17364
427	12968	17331
428	13011	17318
429	13036	17281
430	13063	17245
431	13088	17209
432	13117	17177
433	13144	17142
434	13171	17108
435	13200	17075
436	13225	17039
437	13255	17008
438	13287	16979
439	13314	16945
440	13342	16912
441	13370	16879
442	13400	16848
443	13426	16812
444	13451	16777
445	13481	16746
446	13505	16707
447	13538	16681
448	13567	16650
449	13595	16616
450	13624	16584
451	13650	16549
452	13682	16521
453	13713	16492
454	13742	16460
455	13770	16428
456	13799	16396
457	13827	16362
458	13855	16330
459	13882	16296
460	13912	16266
461	13940	16233
462	13966	16198
463	13997	16169
464	14027	16138
465	14051	16102
466	14081	16071
467	14104	16033
468	14134	16003
469	14161	15969
470	14187	15934
471	14212	15898
472	14234	15859
473	14265	15830
474	14290	15795
475	14318	15761
476	14346	15729
477	14373	15696
478	14397	15659
479	14424	15626
480	14452	15594
481	14481	15562
482	14510	15532
483	14542	15503
484	14569	15470
485	14602	15443
486	14633	15415
487	14661	15382
488	14692	15353
489	14719	15320
490	14749	15289
491	14778	15259
492	14804	15225
493	14833	15193
494	14857	15157
495	14887	15127
496	14917	15097
497	14943	15063
498	14984	15044
499	15010	15010
500	15038	14978
501	15065	14945
502	15092	14912
503	15123	14883
504	15154	14854
505	15178	14818
506	15203	14783
507	15228	14748
508	15255	14716
509	15281	14682
510	15307	14648
511	15338	14619
512	15364	14586
513	15390	14552
514	15414	14516
515	15442	14485
516	15470	14452
517	15497	14420
518	15526	14389
519	15581	14383
520	15614	14356
521	15645	14326
522	15672	14294
523	15702	14264
524	15732	14234
525	15757	14200
526	15786	14169
527	15815	14137
528	15893	14151
529	15919	14117
530	15946	14084
531	15978	14056
532	16004	14022
533	16031	13989
534	16061	13960
535	16086	13925
536	16117	13896
537	16146	13865
538	16173	13832
539	16199	13799
540	16225	13766
541	16252	13733
542	16282	13703
543	16309	13671
544	16337	13639
545	16363	13605
546	16389	13572
547	16415	13539
548	16444	13509
549	16472	13477
550	16499	13444
551	16529	13414
552	16556	13383
553	16583	13350
554	16613	13320
555	16640	13288
556	16667	13256
557	16697	13226
558	16729	13198
559	16758	13167
560	16784	13134
561	16814	13104
562	16840	13071
563	16872	13043
564	16908	13018
565	16940	12990
566	16985	12971
567	17011	12938
568	17043	12909
569	17073	12879
570	17104	12851
571	17135	12821
572	17161	12788
573	17192	12759
574	17221	12729
575	17247	12695
576	17275	12664
577	17303	12633
578	17333	12603
579	17360	12571
580	17387	12539
581	17414	12507
582	17440	12474
583	17468	12443
584	17498	12413
585	17528	12383
586	17557	12352
587	17583	12320
588	17612	12290
589	17643	12260
590	17673	12230
591	17711	12206
592	17748	12181
593	17779	12152
594	17807	12121
595	17839	12092
596	17870	12063
597	17900	12033
598	17940	12010
599	17978	11985
600	18010	11956
601	18037	11925
602	18067	11894
603	18094	11863
604	18121	11831
605	18150	11800
606	18177	11769
607	18204	11737
608	18233	11706
609	18262	11675
610	18303	11652
611	18333	11623
612	18362	11592
613	18393	11563
614	18422	11532
615	18451	11501
616	18481	11472
617	18513	11443
618	18539	11411
619	18569	11381
620	18593	11347
621	18620	11316
622	18648	11284
623	18678	11254
624	18711	11226
625	18737	11194
626	18767	11164
627	18794	11133
628	18820	11100
629	18850	11070
630	18877	11039
631	18907	11009
632	18942	10982
633	18975	10954
634	19002	10922
635	19029	10891
636	19056	10859
637	19086	10829
638	19114	10798
639	19141	10767
640	19166	10734
641	19195	10704
642	19225	10673
643	19252	10642
644	19278	10610
645	19312	10582
646	19337	10550
647	19364	10519
648	19391	10487
649	19420	10456
650	19446	10425
651	19472	10393
652	19503	10363
653	19528	10331
654	19554	10299
655	19582	10268
656	19608	10236
657	19636	10206
658	19658	10172
659	19689	10143
660	19720	10113
661	19745	10081
662	19774	10051
663	19798	10018
664	19827	9988
665	19855	9957
666	19882	9926
667	19909	9895
668	19935	9863
669	19967	9834
670	19997	9804
671	20042	9782
672	20068	9750
673	20098	9721
674	20125	9690
675	20153	9659
676	20182	9629
677	20209	9598
678	20238	9567
679	20265	9536
680	20293	9505
681	20321	9475
682	20347	9443
683	20379	9414
684	20421	9390
685	20475	9372
686	20518	9348
687	20555	9321
688	20586	9292
689	20615	9261
690	20642	9231
691	20674	9201
692	20709	9174
693	20736	9143
694	20763	9111
695	20791	9081
696	20819	9050
697	20843	9018
698	20872	8988
699	20899	8956
700	20941	8932
701	20968	8901
702	21010	8876
703	21034	8844
704	21064	8814
705	21092	8783
706	21119	8752
707	21148	8722
708	21174	8690
709	21204	8661
710	21234	8631
711	21267	8602
712	21304	8575
713	21338	8547
714	21367	8517
715	21397	8487
716	21424	8456
717	21453	8425
718	21486	8397
719	21514	8366
720	21542	8336
721	21576	8307
722	21621	8283
723	21664	8258
724	21725	8240
725	21783	8221
726	21833	8198
727	21878	8174
728	21910	8144
729	21940	8114
730	21965	8083
731	21992	8051
732	22019	8020
733	22048	7990
734	22079	7960
735	22103	7928
736	22130	7897
737	22167	7869
738	22216	7846
739	22271	7824
740	22324	7803
